/home/david/Descargas/OpenS Demo/OpenS/backend-ia/main.py:24: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai  # type: ignore
INFO:     Started server process [74128]
INFO:     Waiting for application startup.
INFO:     127.0.0.1:41844 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:34566 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:36214 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:36230 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41804 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41814 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41822 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41836 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:58652 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:33202 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:33210 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:33212 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:33228 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:33240 - "GET /api/v1/patients/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:33246 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:59610 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:59612 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:59620 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:59628 - "GET /api/v1/patients/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59638 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:59646 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:49040 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55216 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55220 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:57226 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:57228 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:57236 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:57248 - "GET /api/v1/patients/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57260 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:57276 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:57292 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37608 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48816 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48820 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48826 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48838 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:48840 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48854 - "GET /api/v1/patients/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:48866 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:43702 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:36988 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:37000 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37002 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
